漢字,読み
栄諧伉儷,えいかいこうれい
影駭響震,えいがいきょうしん
永永無窮,えいえいむきゅう
煙波縹渺,えんぱひょうびょう
延年益寿,えんねんえきじゅ
燕雀鴻鵠,えんじゃくこうこく
掩耳盗鐘,えんじとうしょう
縁木求魚,えんぼくきゅうぎょ
婉娩聴従,えんべんちょうじゅう
猿号擁柱,えんごうようちゅう
遠交近攻,えんこうきんこう
延頸鶴望,えんけいかくぼう
延頸挙踵,えんけいきょしょう
遠御長駕,えんぎょちょうが
燕頷投筆,えんがんとうひつ
栄華秀英,えいかしゅうえい
燕雁代飛,えんがんだいひ
煙霞痼疾,えんかのこしつ
蜿蜿長蛇,えんえんちょうだ
烏帽子親,えぼしおや
越畔之思,えっぱんのおもい
越権行為,えっけんこうい
会者定離,えしゃじょうり
依怙贔屓,えこひいき
回向発願,えこうほつがん
役夫之夢,えきふのゆめ
易姓革命,えきせいかくめい
益者三友,えきしゃさんゆう
永字八法,えいじはっぽう
慧可断臂,えかだんぴ
益者三楽,えきしゃさんごう
栄耀栄華,えいようえいが
円熟無礙,えんじゅくむげ
英雄欺人,えいゆうぎじん
盈満之咎,えいまんのとが
英邁闊達,えいまいかったつ
曳尾塗中,えいびとちゅう
円転滑脱,えんてんかつだつ
塩鉄之利,えんてつのり
怨徹骨髄,えんてつこつずい
円頂黒衣,えんちょうこくえ
燕巣幕上,えんそうばくじょう
遠走高飛,えんそうこうひ
嫣然一笑,えんぜんいっしょう
遠水近火,えんすいきんか
永垂不朽,えいすいふきゅう
英雄好色,えいゆうこうしょく
英雄豪傑,えいゆうごうけつ
郢書燕説,えいしょえんせつ
英俊豪傑,えいしゅんごうけつ
英姿颯爽,えいしさっそう
栄枯転変,えいこてんぺん
永劫回帰,えいごうかいき
偃武修文,えんぶしゅうぶん
円木警枕,えんぼくけいちん
鳶飛魚躍,えんぴぎょやく
延年転寿,えんねんてんじゅ
鉛刀一割,えんとういっかつ
円頭方足,えんとうほうそく
遠慮近憂,えんりょきんゆう
遠慮会釈,えんりょえしゃく
延命息災,えんめいそくさい
円満具足,えんまんぐそく
円満解決,えんまんかいけつ
衍曼流爛,えんまんりゅうらん
永劫無極,えいごうむきょく
英華発外,えいかはつがい
永遠不滅,えいえんふめつ
永遠不変,えいえんふへん
永遠偉大,えいえんいだい
永遠無窮,えいえんむきゅう
円融滑脱,えんゆうかつだつ
詠雪之才,えいせつのさい
淵広魚大,えんこうぎょだい
猿猴捉月,えんこうそくげつ
英明果敢,えいめいかかん
煙視媚行,えんしびこう
鳶目兎耳,えんもくとじ
盈盈一水,えいえいいっすい
得手勝手,えてかって
栄枯盛衰,えいこせいすい
温和怜悧,おんわれいり
嘔心瀝血,おうしんれきけつ
温文爾雅,おんぶんじが
遠塵離垢,おんじんりく
恩讎分明,おんしゅうぶんめい
屋上架屋,おくじょうかおく
屋烏之愛,おくうのあい
甕裡醯鶏,おうりけいけい
王楊盧駱,おうようろらく
甕牖縄枢,おうゆうじょうすう
横草之功,おうそうのこう
尩繊懦弱,おうせんだじゃく
横説竪説,おうせつじゅせつ
枉尺直尋,おうせきちょくじん
応機接物,おうきせつもつ
枉駕来臨,おうがらいりん
嘔啞嘲哳,おうあちょうたつ
温和篤厚,おんわとっこう
温厚質実,おんこうしつじつ
恩威並行,おんいへいこう
汚名返上,おめいへんじょう
屋下架屋,おくかかおく
大風呂敷,おおぶろしき
鷹揚自若,おうようじじゃく
枉法徇私,おうほうじゅんし
往返徒労,おうへんとろう
横眉怒目,おうびどもく
大盤振舞,おおばんぶるまい
懊悩煩悶,おうのうはんもん
懊悩輾転,おうのうてんてん
懊悩呻吟,おうのうしんぎん
温和丁寧,おんわていねい
温和勤勉,おんわきんべん
温良優順,おんりょうゆうじゅん
温良篤厚,おんりょうとっこう
温良貞淑,おんりょうていしゅく
温良恭倹,おんりょうきょうけん
怨霊怪異,おんりょうかいい
厭離穢土,おんりえど
乳母日傘,おんばひがさ
音吐朗朗,おんとろうろう
怨敵退散,おんてきたいさん
穏着沈黙,おんちゃくちんもく
恩沢洪大,おんたくこうだい
怨憎会苦,おんぞうえく
温凊定省,おんせいてんせい
音信不通,おんしんふつう
怨親平等,おんしんびょうどう
温順篤実,おんじゅんとくじつ
温柔敦厚,おんじゅうとんこう
温厚篤実,おんこうとくじつ
温厚淡泊,おんこうたんぱく
懊悩焦慮,おうのうしょうりょ
王道楽土,おうどうらくど
王政復古,おうせいふっこ
応接不暇,おうせつふか
往事茫々,おうじぼうぼう
往生素懐,おうじょうのそかい
黄金分割,おうごんぶんかつ
鴬語花舞,おうごかぶ
横行覇道,おうこうはどう
横行跋扈,おうこうばっこ
王侯将相,おうこうしょうしょう
往古来今,おうこらいこん
王公貴人,おうこうきじん
横行闊歩,おうこうかっぽ
応急措置,おうきゅうそち
奥義秘伝,おうぎひでん
桜花爛漫,おうからんまん
応病与薬,おうびょうよやく
